CLNS1A,up,FCN1,up,IRF1,up,NMI,up,RBM23,up,TMEM123,up,CASKIN1,down,ESRRB,down,ITLN1,down,PARM1,down,SPTBN5,down,,
CLPTM1L,up,FCRLA,up,IRF2BP2,up,NOL11,up,RBM34,up,TMEM131,up,CBX2,down,ETHE1,down,ITLN2,down,PARP2,down,SRGAP3,down,,
CLUAP1,up,FDFT1,up,IRF8,up,NOL7,up,RBM38,up,TMEM147,up,CC2D2B,down,ETV3L,down,ITPKC,down,PARVA,down,SRMS,down,,
CMIP,up,FDPS,up,IRF9,up,NOP10,up,RBMS1,up,TMEM154,up,CCDC116,down,EVC,down,IZUMO1,down,PCBD1,down,SS18L1,down,,
CMPK1,up,FEM1A,up,IRS2,up,NOP56,up,RBX1,up,TMEM167B,up,CCDC57,down,EVC2,down,JMJD4,down,PCBD2,down,SSR3,down,,
CMTM6,up,FEM1C,up,ISG20,up,NOP58,up,RCBTB2,up,TMEM17,up,CCDC70,down,EVPL,down,JPH4,down,PCLO,down,SSTR5,down,,
CMTM7,up,FERMT3,up,ISG20L2,up,NPAT,up,RCC2,up,TMEM170B,up,CCL7,down,EYS,down,JRKL,down,PDE4A,down,ST6GALNAC5,down,,
CNBP,up,FGD2,up,ISOC1,up,NPC2,up,RCSD1,up,TMEM181,up,CCND1,down,F11,down,JSRP1,down,PDIA2,down,STARD6,down,,
CNDP2,up,FGD3,up,ITGA4,up,NPEPL1,up,RDH11,up,TMEM209,up,CCNE2,down,FADS3,down,KANK1,down,PDZRN3,down,STARD9,down,,
CNIH4,up,FGFBP2,up,ITGB2,up,NPTN,up,RDH14,up,TMEM219,up,CCNG2,down,FAHD2A,down,KANK2,down,PEG3,down,STATH,down,,
CNN2,up,FGFR1OP2,up,ITGB7,up,NR4A2,up,RECQL,up,TMEM30A,up,CCNJL,down,FAM106A,down,KANK3,down,PEMT,down,STK17A,down,,
CNOT7,up,FGL2,up,ITIH5,up,NRGN,up,REEP5,up,TMEM43,up,CCR4,down,FAM110C,down,KATNAL2,down,PEX10,down,STK38L,down,,
CNPY3,up,FGR,up,ITM2B,up,NSA2,up,RERE,up,TMEM59,up,CCR5,down,FAM114A2,down,KAZALD1,down,PF4,down,STMN2,down,,
COMMD7,up,FKBP14,up,ITPR3,up,NSMCE4A,up,RFTN1,up,TMEM71,up,CCT8L2,down,FAM118A,down,KCNH2,down,PFDN2,down,STMN4,down,,
COPE,up,FKBP3,up,ITPRIP,up,NT5C2,up,RFX5,up,TMEM87A,up,CD109,down,FAM43A,down,KCTD8,down,PFKM,down,STOML1,down,,
COPS7B,up,FKBP5,up,ITPRIPL2,up,NUBPL,up,RGS10,up,TMEM9B,up,CD177,down,FARP2,down,KIAA1549,down,PGBD5,down,STOX2,down,,
COQ10B,up,FKTN,up,JAK1,up,NUCB1,up,RGS2,up,TMSB10,up,CD34,down,FARSB,down,KIF20A,down,PGC,down,STXBP1,down,,
CORO1A,up,FLOT2,up,JMJD8,up,NUCKS1,up,RHBDD2,up,TMX4,up,CD40,down,FAT2,down,KLC3,down,PGF,down,SUOX,down,,
CORO1C,up,FLVCR2,up,JOSD1,up,NUDT3,up,RHBDL2,up,TNFAIP3,up,CD46,down,FAT4,down,KLF1,down,PGLYRP3,down,SVOPL,down,,
COTL1,up,FNBP1,up,JUN,up,NUP205,up,RHEB,up,TNFRSF1B,up,CD59,down,FBP2,down,KLF14,down,PGPEP1,down,SYDE2,down,,
COX5A,up,FNDC3B,up,JUNB,up,NUP54,up,RHOA,up,TNFSF10,up,CD5L,down,FBXO27,down,KLF16,down,PGR,down,SYT10,down,,
COX6A1,up,FOS,up,JUND,up,NUP88,up,RHOB,up,TNFSF13B,up,CD70,down,FBXO3,down,KLF5,down,PIGR,down,SYT9,down,,
COX7A2,up,FOSB,up,KAT2B,up,NUP93,up,RHOC,up,TNFSF14,up,CD72,down,FBXW8,down,KLHL32,down,PIGW,down,TAC4,down,,
COX7C,up,FOXJ3,up,KBTBD2,up,NUTF2,up,RHOG,up,TNK2,up,CD79B,down,FBXW9,down,KLRC2,down,PIP,down,TACC2,down,,
COX8A,up,FOXN2,up,KCNH6,up,NXF1,up,RHOQ,up,TOB1,up,CD8B,down,FCGR2B,down,KNG1,down,PITPNB,down,TAF13,down,,
CPNE3,up,FOXO3,up,KCTD12,up,NXT1,up,RHOU,up,TOM1,up,CD9,down,FCHO1,down,KRI1,down,PIWIL4,down,TAGLN,down,,
CPSF3,up,FPR1,up,KDELR1,up,OAZ1,up,RILPL2,up,TOMM20,up,CDC37L1,down,FCRL5,down,KRTAP9-3,down,PKIG,down,TAL2,down,,
CPVL,up,FRAT2,up,KHDRBS1,up,OCIAD1,up,RING1,up,TOMM40,up,CDC42EP5,down,FDXR,down,LACRT,down,PLA2G3,down,TAT,down,,
CRCP,up,FRG1,up,KIAA1191,up,OCIAD2,up,RIOK3,up,TOMM7,up,CDK10,down,FER1L6,down,LACTB2,down,PLB1,down,TBC1D10B,down,,
CREB1,up,FRMD8,up,KIF22,up,ODC1,up,RIPK2,up,TOP2B,up,CDKL4,down,FERD3L,down,LAMB4,down,PLCD4,down,TBCEL,down,,
CREB3L2,up,FSCN1,up,KIR2DL1,up,OPTN,up,RLF,up,TOR1AIP1,up,CDKN2A,down,FFAR3,down,LAMC1,down,PLCE1,down,TBXA2R,down,,
CRELD2,up,FTL,up,KIR2DL3,up,OSBP,up,RNASE2,up,TP53INP1,up,CDON,down,FGA,down,LAMP3,down,PLD5,down,TCF23,down,,
CRIP1,up,FXYD5,up,KLF11,up,OSM,up,RNASE6,up,TPMT,up,CDSN,down,FGF7,down,LARP6,down,PLEKHM3,down,TCOF1,down,,
CRKL,up,FYN,up,KLF13,up,OSTF1,up,RNASEH1,up,TPP1,up,CEACAM7,down,FGFRL1,down,LCN10,down,PLLP,down,TECPR2,down,,
CRLF3,up,FYTTD1,up,KLF2,up,OTUD1,up,RNASEH2B,up,TPT1,up,CEACAM8,down,FGG,down,LCN6,down,PLSCR1,down,TFCP2L1,down,,
CRLS1,up,G3BP2,up,KLF4,up,OXA1L,up,RNASEK,up,TRABD,up,CEBPA,down,FHDC1,down,LCN9,down,PMFBP1,down,TFR2,down,,
CRY1,up,GABARAPL1,up,KLF6,up,OXSR1,up,RNASET2,up,TRAM1,up,CEBPE,down,FHOD3,down,LCTL,down,PMP22,down,TGFB3,down,,
CRY2,up,GABARAPL2,up,KLHDC2,up,P4HB,up,RNF114,up,TRAPPC1,up,CEND1,down,FKRP,down,LDB3,down,PODXL2,down,TGFBR1,down,,
CS,up,GABPB2,up,KLHDC3,up,PA2G4,up,RNF126,up,TRIB1,up,CENPP,down,FLCN,down,LDHAL6B,down,POLE,down,TGM7,down,,
CSF1R,up,GADD45B,up,KLHL24,up,PABPC1,up,RNF130,up,TRIM22,up,CER1,down,FLNB,down,LEAP2,down,POLE2,down,TH,down,,
CSF3R,up,GALNT11,up,KLHL28,up,PABPC3,up,RNF138,up,TRIM33,up,CFHR5,down,FLRT3,down,LETM1,down,POLR1B,down,THAP10,down,,
